artwork_id,artwork_type,artwork_title,artwork_medium,artwork_url,artwork_description
5141,netsuke,Netsuke of a Tusk with Spider and Poem,boar tusk ivory,https://art.thewalters.org/detail/5141,"<p>A carved wild boar tusk netsuke with a spider applied in relief. A fern and a long inscription are incised and ink stained in the lines.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/5141"" rel=""external alternate main"">netsuke</a></cite>, visit art.thewalters.org.</p>"
5358,tsubas; sword components,Tsuba with Wang Xizhi,"shibuichi, gold, silver, gilt",https://art.thewalters.org/detail/5358,"<p>This tsuba probably depicts the Chinese calligrapher Wang Xizhi [Wang Hsi-chih], who lived in the 4th century BC. He is shown with a long scroll in his hand and a boy attendant. The bird at the upper left is a crane raised by Wang Xizhi [Wang Hsi-chih].</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/5358"" rel=""external alternate main"">tsubas; sword components</a></cite>, visit art.thewalters.org.</p>"
5578,medallions (medals); buckles (strap accessories); belt clasps,Belt Clasp with a Woman Making a Sacrifice,"jasperware, steel, tin",https://art.thewalters.org/detail/5578,"<p>The jasperware medallions showing sacrificing priestesses were designed by Lady Templetown and Miss Crew for Josiah Wedgwood's factory, Etruria. They have been mounted in metal frames with faceted steel studs, a specialty of Matthew Boulton's factory in Birmingham.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/5578"" rel=""external alternate main"">medallions (medals); buckles (strap accessories); belt clasps</a></cite>, visit art.thewalters.org.</p>"
6301,portraits; busts,Bust of Dr. Dio Lewis,marble,https://art.thewalters.org/detail/6301,"<p>Edmonia Lewis was the first African American sculptor to receive international recognition. Born in Greenbush, New York, to a Haitian father of African descent and a mother of Native American and African American descent, Lewis spent a brief time in Boston studying with the sculptor Edward Brackett. In 1866, she moved from Boston to Rome, Italy, to study sculpture and to escape racial discrimination. Lewis adopted the prevailing Neoclassical style of sculpture but softened it with a degree of naturalism. She had a successful career specializing in biblical subjects, themes recalling her Native American and African American ancestry, and portrait busts of important people.

This portrait bust of Diocletian Lewis (1823–86), was made in the artist's Rome studio. Dio Lewis (no relation) who trained in medicine at Harvard College's medical department and practiced briefly in Buffalo, New York, is remembered chiefly for lectures and publications dealing with preventive medicine and physical hygiene, as well as for his support of liberal causes, including women's rights.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/6301"" rel=""external alternate main"">portraits; busts</a></cite>, visit art.thewalters.org.</p>"
6802,miniatures (paintings); portraits,"James, Cardinal Gibbons",watercolor on ivory,https://art.thewalters.org/detail/6802,"<p>Florence MacKubin was born in Florence, Italy, though had Baltimore connections. She exhibited internationally after studying in Paris and Munich, and went on to paint many miniatures of society women in New York, Boston, St. Louis and Washington D.C..This portrait of the Baltimore bishop who was created cardinal by Pope Leo XIII was shown at the Royal Society of Miniature Painters in London in 1907, and at the Paris Salon of 1909. A numbers of works by the artist can be found in the Maryland State Art Collection.
Cardinal Gibbons is seated, facing three-quarters left, with his chin resting on his right hand. The miniature is in a carved ebony frame.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/6802"" rel=""external alternate main"">miniatures (paintings); portraits</a></cite>, visit art.thewalters.org.</p>"
6926,miniatures (paintings),Queen Marie-Antoinette,watercolor on ivory; vari-colored gold frame,https://art.thewalters.org/detail/6926,"<p>This miniature may be copied from a portrait of Marie-Antoinette by Anne Vallayer-Coster, who was one of the queen's favorite artists. Vallayer-Coster was celebrated for her still lifes, but she also received several important portrait commissions from the royal family, perhaps due to the favor shown her by the French queen. Vallayer-Coster's floral still-life miniatures are done with an exquisite technique that is different to that found in this portrait. For this reason, pending further research, this portrait miniature is only tentatively attributed to her.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/6926"" rel=""external alternate main"">miniatures (paintings)</a></cite>, visit art.thewalters.org.</p>"
7684,oil paintings (visual works),A Harvest Shower,oil on fabric,https://art.thewalters.org/detail/7684,"<p>Wilkie Collins, in ""Memoirs of the Life of William COllins, Esq., R.A.,"" London, 1848, vol. 1, p. 70, relates the following genesis of this picture:

""The 'Harvest Shower' was suggested on a visit to Windsor, by a beautiful effect, produced durring a shower, by the appearance of bright clouds behind falling rain.  As soon as he perceived it, although reminded by his companion, Mr. Stark, of an engagement they had the moment before been hastened to fulfill, Mr. Collins produced his sketchbook; and careless alike of rain and punctuality, made a study of the scene, which he afterwards transferred to canvass, and exhibited as above related.""

The rolling expance of landscape is bisected by a stream.  At the left, in the immediate foreground, a young man seated on a log is baiting his fishing line.  His jacket lies on the ground beside a hamper.  Further left, are several gnarled trees and some vegetation including poppies and burdock.  A girl and a young boy carrying bundles of wheat make their way towards the viewer along a path that extends back into a distant field in which grain is being harvested.  Beyond is a wood in which there are a number of houses and in the remote background hills rise.  The bank of the stream in the right foreground is lost in shadow.  Cattle graze in the fields further back, and a couple of spires are visible through the woods in the background on the right side.  The most startling feature of this composition is the juxtaposition of the dark rain clouds against the sunlit sky.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/7684"" rel=""external alternate main"">oil paintings (visual works)</a></cite>, visit art.thewalters.org.</p>"
8783,paintings,The Sacrificial Lamb,oil on canvas,https://art.thewalters.org/detail/8783,"<p>The inscription refers to Christ as the Lamb whose death was foretold. This symbolism of Christ as a sacrificial lamb who brings salvation derives from the feast of Passover, instituted after the Lord saved the Jews in Egypt who brushed the blood of slaughtered lambs over their doors.

Although Ayala spent most of her life in Portugal, this work reflects the influence of the art of her native Seville, Spain. She has modeled her composition and her style-with the strong contrasts of light and dark and attention to realistic detail-on paintings of Francisco de Zurbarán (1598-1664), also from that city. Ayala was one of the few women artists active in Spain and Portugal. She was renowned for her ability to paint still lifes and portraits, subjects that were considered appropriate for female painters.
</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/8783"" rel=""external alternate main"">paintings</a></cite>, visit art.thewalters.org.</p>"
18404,miniatures (paintings); portraits,Woman Feeding Chickens,watercolor on ivory,https://art.thewalters.org/detail/18404,nan
9356,drawings (visual works),Margot (Lefebvre) in Blue,"pastel on brown, moderately thick, slightly textured, wove paper",https://art.thewalters.org/detail/9356,"<p>Mary Cassatt, the daughter of a wealthy Pennsylvania banker, traveled extensively through Italy, Belgium and Spain and trained in Paris with several notable teachers including Gérôme and Couture. She met Degas in 1877, and though their friendship would be fitful and end in total estrangement, the encounter proved meaningful for both artists. Under Degas' influence, Cassatt's early, earthy realist style gave way to a more impressionistic approach. He in turn, recruited a sympathetic artisan for his realist faction of Impressionism. Like Degas, Cassatt explored various techniques, including pastels and graphics. She also shared his abiding interest in Japanese art. Excluded from many of her male colleagues' haunts, Cassatt appropriated as her specialty images of upper-class women and children. Characteristic of her later work is this pastel, ""Margot in Blue,"" showing a child wearing a floppy white bonnet and blue dress.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/9356"" rel=""external alternate main"">drawings (visual works)</a></cite>, visit art.thewalters.org.</p>"
9513,intaglios (sculptural objects); gems; finger rings,Intaglio with an Athlete Set in a Ring,garnet; mount: gold,https://art.thewalters.org/detail/9513,"<p>This intaglio depicts an athlete, frontally, pouring oil from an alabastron with his left hand. To the left is a water jug (hydria) on a table. The athlete may be a small-scale depiction of a famous Greek statue by one of the followers of the renowned sculptor Polykleitos (5th century BCE). 
The gem is inscribed vertically on the right with the name of a well-known gem-carver of the late 1st century BCE, ΓNAIOΥ (Gnaios). The intaglio has been largely abraded due to early modern cleaning.
</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/9513"" rel=""external alternate main"">intaglios (sculptural objects); gems; finger rings</a></cite>, visit art.thewalters.org.</p>"
9638,lamps,Spirit Lamp in the Form of a Samovar,"silver-gilt (88 zolotnik), ivory",https://art.thewalters.org/detail/9638,"<p>This spirit lamp is in the form of a samovar, an ornate urn traditionally used for making tea in Russia. A cotton wick extends beyond the inner tube that would have served as the heating element in a samovar. Impressed in the lid is an Imperial eagle and an inscription in Cyrillic that translates: ""K. Fabergé, Jeweler of the Court/St. Petersburg."" A similar spirit lamp with the St. Petersburg assay mark for 1908-17 was produced in gold under the direction of Henrik Wigström.

Vladimir Soloviev assumed control of an independent workshop that had been founded in St. Petersburg by Phillip Theodor Ringe (1824-82) and had subsequently been operated by Anders Mickelson (1839-1918). All of Soloviev's work dates from the last decade of the Fabergé firm's existence.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/9638"" rel=""external alternate main"">lamps</a></cite>, visit art.thewalters.org.</p>"
9722,mirror backs; mirrors,Diana,translucent painted enamels over foil on copper,https://art.thewalters.org/detail/9722,"<p>Diana, transfixed by an arrow of Cupid, who flies away, sits under a tree and holds her right hand to her heart. The tree, Diana, and the grassy bench where she sits are in relief; her hounds, Cupid, and the landscape on the left are flat.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/9722"" rel=""external alternate main"">mirror backs; mirrors</a></cite>, visit art.thewalters.org.</p>"
82299,boxes (containers); caskets (personal gear),Casket,"silver gilding, painted filigree and translucent en plein enamel over a guilloché ground",https://art.thewalters.org/detail/82299,"<p>An unusual feature of this box is the rectangular panel set in the lid in red translucent en plein enamel over a guilloché, or mechanically engraved, checker-board pattern.  The box is decorated with blossoms in pale blue, violet, pink and red enamel set in cream-colored cartouches. These, in turn, are enclosed within an olive green background. This pastel color scheme is characteristic of Semenova's work. Distinctive details in the filigree include the spirals indicating the blossom's stamens and the silver, concave dots scattered across the background colors.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/82299"" rel=""external alternate main"">boxes (containers); caskets (personal gear)</a></cite>, visit art.thewalters.org.</p>"
9874,oil paintings (visual works),Judith with the Head of Holofernes,oil on canvas,https://art.thewalters.org/detail/9874,"<p>According to the Book of Judith, the Jewish widow Judith saved the Israelites from the Assyrians by decapitating their general Holofernes, whose army had besieged her city. She did this after having made him drunk at a banquet. Judith is commonly depicted as being assisted by an older maidservant in placing the head in a sack. The contrast between Holofernes's crude features and the heroine's beauty underlines the moral message of the eventual triumph of virtue over evil.

The Bolognese painter Elisabetta Sirani based her style on that of Guido Reni (1575-1642), who was admired for his idealized depictions of women, as in his Penitent Magdalene (Walters 37.2631). This painting is close to her style but it also appears to owe something to that of her father Giovanni Andrea Sirani. 

</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/9874"" rel=""external alternate main"">oil paintings (visual works)</a></cite>, visit art.thewalters.org.</p>"
10015,parasol handles,Cushion-shaped Parasol Handle,"gold (56 zolotnik), enamel, diamonds, nephrite, lapis lazuli, sapphires",https://art.thewalters.org/detail/10015,"<p>A carved guilloché pattern set with polished lapis lazuli stones extends around the circumference of the nephrite pommel. Set at its apex is a cabochon sapphire mounted in gold. The collar is rimmed in red gold and decorated with entwined green gold garlands applied over an oyster white enamel ground. In each of the interstices, a rose-cut diamond has been mounted with a crimped flange.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/10015"" rel=""external alternate main"">parasol handles</a></cite>, visit art.thewalters.org.</p>"
10480,sculpture (visual works),Youth of the Narcissus Type,marble,https://art.thewalters.org/detail/10480,"<p>On better-preserved copies of the original statue, the youth is supported by a low pillar. His torso is off-balance, and his head would have been inclined forward and turned to the left, accentuating the S-curve of the pose. Experimentation with leaning poses that required a support was characteristic of the Late Classical period, as was the interest in accurately representing the body.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/10480"" rel=""external alternate main"">sculpture (visual works)</a></cite>, visit art.thewalters.org.</p>"
11457,oil paintings (visual works); panel paintings,Madonna Adoring the Child,oil on canvas mounted on panel,https://art.thewalters.org/detail/11457,"<p>Barbara Longhi was an active member of the workshop of her father, Luca Londhi,  in Ravenna, Italy, the city where she seems to have passed her entire life.Very little is known of Barbara Longhioutside a small number of delicate images of the Madonna and Child, a subject that was not only popular with clients but for which, in a conservative environment, she as a woman artist could readily compete.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/11457"" rel=""external alternate main"">oil paintings (visual works); panel paintings</a></cite>, visit art.thewalters.org.</p>"
12531,kashira; sword components; handles,Kashira with Three Yamabushi,"silver alloy, gold, silver",https://art.thewalters.org/detail/12531,"<p>Three yamabushi monks are depicted on the front of the kashira. They wear the distinctive yamabushi clothing, including a small hat and a sash with pom-poms around their necks. They carry wicker packs and walking sticks. Yamabushi lived in the mountain where they practiced a religious tradition that mixed elements of Shintoism and Buddhism. This is part of a set with Walters 51.1058.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/12531"" rel=""external alternate main"">kashira; sword components; handles</a></cite>, visit art.thewalters.org.</p>"
13056,oil paintings (visual works); portraits,Portrait of Ginevra Aldrovandi Hercolani,oil on canvas,https://art.thewalters.org/detail/13056,"<p>Ginevra Aldrovandi's husband, the Bolognese senator Ercole Hercolani, died in 1593. Her elaborate mourning costume-with costly brocade, lace, and pearls-indicates her high social status. She holds a handkerchief, suggesting the tears she shed at her husband's death. The lapdog is her pet, but it also carries symbolic significance. During the 16th century, a widow who did not re-marry, staying faithful to her husband's memory, was often compared to a dog that was faithful to its master.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/13056"" rel=""external alternate main"">oil paintings (visual works); portraits</a></cite>, visit art.thewalters.org.</p>"
13532,paintings,Vase of Flowers,oil on canvas,https://art.thewalters.org/detail/13532,"<p>Fresh flowers in all their fragile, transient beauty and variety were not available in the winter nor could specimens be preserved for display, as could those of animals, so flower paintings, drawings, or colored prints were especially treasured. The flamboyant sweep of the composition and emphasis on blossoms that are full to slightly past their prime mark this flower piece as from the second half of the 17th century when the baroque style touched even flower painting. The motif on the vase of putti (chubby todlers, more knowing and worldly than their apparent age would suggest) adds a classicizing tone to the floral display that reflects the expanding influence of French tastes throughout Europe. This is a rare signed piece by the daughter of Jan Peeters I, who worked in Antwerp and painted Southern Seaport in a Storm (Walters 37.1921). Only her birth date is known. Women painters were generally thought more capable of portraiture or flower painting, thus subjects drawn from life, not requiring leaps of a vigorous imagination such as the more “manly” painting of history subjects, which might require preparation in an academy or workshop where the study of the human body would be necessary…and considered inappropriate for women.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/13532"" rel=""external alternate main"">paintings</a></cite>, visit art.thewalters.org.</p>"
14310,cups (drinking vessels),Kovsh,"silver (84 zolotnik), rubies, sapphires, emeralds, moonstones",https://art.thewalters.org/detail/14310,"<p>This utensil is in the form of a kovsh, a boat-shaped drinking vessel. Both the spout in the shape of a monstrous bat with spreading wings and the handle terminating in a bust of a Kazan warrior have been cast in silver. The border of interlace is studded with cabochon rubies, sapphires, emeralds, and moonstones.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/14310"" rel=""external alternate main"">cups (drinking vessels)</a></cite>, visit art.thewalters.org.</p>"
82510,plates (dishes),Dish with Images of Moscow Landmarks,"silver gilding, painted filigree and en plein enamel, cabochon amethyst and citrine stones",https://art.thewalters.org/detail/82510,"<p>In the center of the dish is a crowned, double-headed eagle in olive against a turquoise background enriched with loose filigree scrolls. Arched fields enclose three views of famous Moscow landmarks painted en grisaille alternating with others containing open and closed blossoms on cream-colored grounds. The landmarks include the Tsar Cannon commissioned in 1586 by Tsar Fedor Ivanovich; the 204-ton Tsar Bell founded in 1733-1735; the Victory Arch erected in 1826, and a monument by Viktor Petrovich Martos (1754-1835) to Dmitry Pozharsky and Kizma Minin, the Russian leaders who expelled the Polish-Lithuanian forces from Moscow in 1612. Around the dish's rim, scrolls are set with cabochon amethyst and citrine stones.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/82510"" rel=""external alternate main"">plates (dishes)</a></cite>, visit art.thewalters.org.</p>"
14764,busts; sculpture,Bust of an African Boy in Servant's Livery,bronze,https://art.thewalters.org/detail/14764,"<p>This bust of a very young servant wearing the generic insignia of a cardinal is one of the most sensitive early renderings of an African boy by a European sculptor. The detail, sense of movement, and expression suggest that this is a likeness of a particular individual. He was probably enslaved. The existence of other versions of this bust or figure with different insignia or attributes, in marble as well as in bronze, suggests that although the artist probably initially portrayed a specific young boy whose identity is now lost, this work quickly became a “type,” that could be used to convey different subjects involving an African boy.  
De Cock was one of the leading sculptors working in the Southern Netherlands (present-day Belgium) in the years around 1700.
</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/14764"" rel=""external alternate main"">busts; sculpture</a></cite>, visit art.thewalters.org.</p>"
14933,figurines,Anteater,"jasper, diamonds",https://art.thewalters.org/detail/14933,"<p>This tiny diamond-eyed anteater was purchased by Henry Walters, founder of the Walters Art Museum, on a trip to St. Petersburg in 1900. The House of Fabergé began making hardstone animals in the 1890s and they proved popular with their elite clients. Queen Alexandra (wife of the British King Edward VII) built a large collection, and production peaked in the years immediately before the outbreak of the First World War in 1914. Objects such as this anteater were inspired by Japanese netsuke. Carl Fabergé owned over 500 of these. He married this admiration of Asian art with the rich Russian tradition of hardstone carving. The anteater is unusual among Fabergé's menagerie, although examples in bloodstone and quartz are also known.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/14933"" rel=""external alternate main"">figurines</a></cite>, visit art.thewalters.org.</p>"
15224,sculpture (visual works); heads,Head of the Doryphorus,marble,https://art.thewalters.org/detail/15224,"<p>Polyclitus of Argos attempted to depict the High Classical ideal of human form in his famous ""Doryphorus"" (Spear-bearer) statue. In his treatise, entitled ""Canon,"" he wrote of achieving this ideal through perfect balance and proportion among the parts of the body. The statue may have been intended to portray Achilles setting off for the Trojan War. This copy follows, but does not imitate exactly, the structure and symmetry of the head of the original ""Doryphorus.""</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/15224"" rel=""external alternate main"">sculpture (visual works); heads</a></cite>, visit art.thewalters.org.</p>"
15225,parasol handles,Parasol Handle,"painted guilloché enamel on gold, cloisonné enamel, multicolored gold, silver, and diamonds",https://art.thewalters.org/detail/15225,"<p>The House of Fabergé was known worldwide for its exquisite enamel work. In this parasol handle the metal form was mechanically engraved with a ray pattern. Several coats of translucent pink enamel were then fired at very high temperatures, allowing the engraved pattern to shimmer through. The process is known as guilloché enameling, from the French word for “geared” or “turned.” To add to the luxurious effect, before the last coat of enamel was applied, a design in imitation of moss agate, a semiprecious stone, was painted on. Real diamonds alternate with the red and white beads of enamel, in imitation of pearls and uncut rubies.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/15225"" rel=""external alternate main"">parasol handles</a></cite>, visit art.thewalters.org.</p>"
16254,miniatures (paintings); portraits,Portrait of Queen Marie Antoinette,"watercolor on ivory, gold",https://art.thewalters.org/detail/16254,"<p>Hall left Sweden for France in 1766. Within three years, he was officially a painter to King Louis XVI. Hall introduced to French miniature painting a seemingly spontaneous technique employing broad, loose brushstrokes. 

Marie Antoinette of Lorraine (1755-93) married Louis XVI in 1770 and shared her husband's fate in 1793.

At the time of accession this miniature was attributed to Hall, however, as the style is rather more precise than his typical work it may be by another artist or a follower of Hall. The case is later than the miniature appears to be.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/16254"" rel=""external alternate main"">miniatures (paintings); portraits</a></cite>, visit art.thewalters.org.</p>"
16554,pastels; portraits,Charles Dikran Kelekian,"pastel on beige, moderately thick, slightly textured paper",https://art.thewalters.org/detail/16554,"<p>In this pastel, Cassatt portrays the 12-year-old son of her friend and art consultant Dikran Kelekian. From 1866 to 1870, Cassatt studied in Paris with such masters as Jean-Léon Gérôme and Thomas Couture, but, becoming aware of the works of Gustave Courbet and Edgar Degas, she broke with the academic traditions. In 1879, when she had developed a fully impressionistic style, Degas invited her to participate in the 4th impressionist exhibition. At that time, she also began to produce major works in pastel, drawing with remarkably vigorous and intense strokes.
</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/16554"" rel=""external alternate main"">pastels; portraits</a></cite>, visit art.thewalters.org.</p>"
16631,oil paintings (visual works),Figaro's Shop,oil on wood panel,https://art.thewalters.org/detail/16631,"<p>In this scene set in Rome, a young gypsy strums a guitar while a priest and a couple of men in frock coats play a game of checkers. The barber pulls up a chair to join them. The artist has provided a wealth of descriptive details, including caged birds, a copper barber's bowl suspended over the door, and graffiti on the wall. Jiménez, an artist from Seville, joined Mariano Fortuny's circle of Spanish artists in Rome in 1871. Like them, he displayed remarkable technical skills in his humorous depictions of daily life.
</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/16631"" rel=""external alternate main"">oil paintings (visual works)</a></cite>, visit art.thewalters.org.</p>"
16642,sculpture (visual works),Torso of the Diadoumenos,marble,https://art.thewalters.org/detail/16642,"<p>This powerful torso was part of a copy of the ""Diadoumenos,"" a Greek statue by the famous master sculptor Polykleitos that has not survived. The original depicted a youthful nude athlete with both arms raised to tie a ribbon, the prize of athletic victory, around his head. The statue was much admired for the skillful representation of the musculature of the chest and the naturalistic and supple pose.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/16642"" rel=""external alternate main"">sculpture (visual works)</a></cite>, visit art.thewalters.org.</p>"
