exhibition_id,exhibition_name,exhibition_begin_year,
3532,Crowning Glory: Art of the Americas,2018,
3540,Odyssey: Jack Whitten Sculpture, 1963 - 2016,2018,
3564,Chinese Snuff Bottles,2018,
3287,Unruly Nature: The Landscapes of Theodore Rousseau ,2016,
3310,A Feast for the Senses: Art and Experience in Medieval Europe,2016,
3314,Jerusalem 1000–1400: Every People Under Heaven,2016,
3345,In the Light of Naples: The Art of Francesco de Mura,2016,
3352,Daubigny, Monet, Van Gogh: Impressions of Landscape,2016,
3359,High Society: The Portraits of Franz X,2015,
3362,Metamorphosis: The Studio of Rodin,2015,
3384,Small Wonders: Gothic Boxwood Miniatures ,2016,
3403,Luther! 95 people – 95 treasures,2017,
3404,Della Robbia: Sculpting with Color in Renaissance Florence ,2016,
3427,JapanAmerica: Points of Contact, 1876-1970,2016,
3431,Alfred Sisley (1839-1899): Impressionist Master,2017,
3441,Lawrence Alma-Tadema: At Home in Antiquity ,2016,
3444,Glory of Venice: Masterworks of the Renaissance,2016,
3447,American Watercolor in the Age of Homer and Sargent,2017,
3453,Die Poesie der venezianischen Malerei - Paris Bordone, Palma il Vecchio, Lorenzo Lotto, Tizian (The Poetry of Venetian Painting: Paris Bordone, Palma il Vecchio, Lorenzo Lotto, Titian),2017,
3456,Ferocious Beauty: Wrathful Deities from Tibet and Nepal,2016,
3490,The Ivory Mirror: Death and Selfhood in Renaissance Art,2017,
3500,Training the Eye: 19th-Century Drawing,2017,
3504,Uncertain Times: Martin Luther's Remedies for the Soul,2017,
3562,Treasures of Yemenite Silverwork,2016,
3152,Delacroix's Influence: The Rise of Modern Art from C?zanne to van Gogh,2015,
3229,Ancient Egypt Transformed: The Middle Kingdom,2015,
3294,Pergamon and the Hellenistic Kingdoms of the Ancient World,2016,
3300,From Rye to Raphael: The Walters Story,2014,
3309,A Renaissance Original: Carlo Crivelli  ,2016,
3319,Maniera,2016,
3334,Pearls on a String: Artists, Patrons, and Poets at the Great Islamic Courts,2015,
3335,Jewel City: Art of the Panama-Pacific International Exposition,2015,
3338,Court and Cosmos: The Great Age of the Seljuqs,2016,
3363,Waste Not: The Art of Medieval Recycling,2016,
3366,Unfinished: Thoughts Left Visible,2016,
3383,Sotatsu: Making Waves,2015,
3390,Madame de Pompadour, Patron and Printmaker,2016,
3391,Gérôme and His Circle: Travel, Art, and Business in the Middle East,2015,
3392,Henry Walters, L?on Gruel, and the Reinvention of the Medieval Manuscript,2015,
3393,Konstantin Makovsky, The Tsar's Painter,2016,
3400,Frits Thaulow (1847-1906), Landscape Painter by Nature,2016,
3402,Ornament and Illusion: Carlo Crivelli of Venice,2015,
3448,Spreading Canvas: Eighteenth-century British Marine Painting,2016,
3146,Sanctity Pictured: The Art of the Dominican and Franciscan Orders in Renaissance Italy,2014,
3164,Roman in the Provinces: Art on the Periphery of Empire,2014,
3214,Poseidon and the Sea: Myth, Cult, and Daily Life,2014,
3236,From Assyria to Iberia: Crossing Continents at the Dawn of the Classical Age,2014,
3240,Die Entstehung der Welt,2014,
3241,Senusret III,2014,
3246,René Lalique: Enchanted by Glass,2014,
3257,Marvels and Mirages of Orientalism: Benjamin-Constant and His Time,2014,
3258,Henlein-Uhrenstreit (Henlein Watch Controversy),2014,
3276,Rinehart's Studio: Rough Stone to Living Marble,2015,
3315,A Cosmopolitan Community: Muslims, Christians, & Jews in Old Cairo,2015,
3318,From Pen to Press: Experimentation and Innovation in the Age of Print,2014,
3321,Visions of the Cosmos,2014,
3340,Art with Benefits: The Drigung Tradition,2015,
3360,From Rubens to the Grand Tour,2015,
3381,Gold of the Ancient Americas,2015,
2475,El Greco,2014,
2114,Threshold to the Sacred: The Ark Door of Cairo’s Ben Ezra Synagogue,2013,
2235,Veronese: Magnificence in Renaissance Venice,2014,
2351,Inventing the Modern World: Decorative Arts at World's Fairs, 1851-1939,2012,
2638,The Art of Empathy: The Cummer Mother of Sorrows in Context,2013,
3102,Sicily: Between Greece and Rome,2013,
3144,Yoga: The Art of Transformation,2013,
3159,Pala Art in Tibet at the Met,2014,
3188,Exuberance of Meaning: The Art Patronage of Catherine the Great,2013,
3193,Egypt’s Mysterious Book of the Faiyum,2013,
3198,Pontormo and Rosso Fiorentino: the different paths of Mannerism,2014,
3202,Lost and Found: The Secrets of Archimedes (Traveling Exhibition),2014,
3205,The Pageant of Venice: Art and Music in the Golden Age of the Serenissima,2013,
3219,Delacroix and the Matter of Finish,2013,
3222,Designed for Flowers: Contemporary Japanese Ceramics,2014,
3228,Degas/Cassatt,2014,
3230,Court and Craft: A Masterpiece from Northern Iraq,2014,
3233,Gustave Doré (1832-1883): Master of Imagination,2014,
3254,Bookbindings from the Gilded Age,2013,
3256,La peinture Americaine: 1830-1900 (The American Painting),2014,
3271,American Artists Abroad: Works from the Permanent Collection ,2014,
3272,The Janet & Walter Sondheim Artscape Prize 2014 Finalists,2014,
3316,Seeing Music in Medieval Manuscripts,2014,
2834,New Eyes on America: The Genius of Richard Caton Woodville,2013,
2874,Camille Corot,2012,
2988,Exploring Art of the Ancient Americas: The John Bourne Collection Gift,2012,
3030,Pre-Raphaelites: Victorian Avant-Garde,2013,
3131,Beauty Revealed: Images of Women in Qing Dynasty Chinese Painting,2013,
3132,The Road to Van Eyck,2012,
3135,Breath of Heaven, Breath of Earth: Ancient Near Eastern Art from American Collections,2013,
3156,Valley of the Shadow,2012,
3179,Martin Rico (1833-1908),2012,
3181,Diadem and Dagger: Jewish Artisans of Yemen,2012,
3192,Fabergé: Designing Luxury, from the Virgina Museum of Fine Arts,2012,
3220,Florence at the Dawn of the Renaissance: Painting and Illumination, 1300-1350,2012,
3231,Living by the Book: Monks, Nuns, and Their Manuscripts,2013,
2173,Mummified,2008,
2250,Henry O,2012,
2444,Revealing the African Presence in Renaissance Europe,2012,
2493,Beauty and Belief: Crossing Bridges with the Arts of Islam,2012,
2496,Bohèmes,2012,
2639,Late Raphael,2012,
2129,Caravaggio and his Circle in Rome,2011,
2213,Eugène Delacroix,2011,
2279,Il mito della Citt? Ideale,2012,
2281,Jerusalem Saved! Inness and the Spiritual Landscape,2011,
2360,Chefs-d'oeuvre des derniers pharaons,2012,
2499,The Dusseldorf School of Painting-Crossing Bridges between Cultures,2011,
2673,Antico: The Golden Age of Renaissance Bronzes,2011,
2678,Théophile Gautier dans son cadre,2011,
2709,Mirror of the Buddha,2011,
2821,Transitions to Christianity,2011,
3027,Princes and Painters in Mughal Delhi, 1707-1857,2012,
3061,Lost and Found: The Secrets of Archimedes,2011,
3085,Illuminated: The Art of Sacred Books,2012,
3137,Touch and the Enjoyment of Sculpture: Exploring the Appeal of Renaissance Statuettes,2012,
3142,All Things Round: Galazies, Eyeballs and Karma,2011,
3147,Thai Story: The Vessantara Jataka,2011,
3148,Near Paris: The Watercolors of L?on Bonvin,2012,
3154,Hashiguichi Goyo's Beautiful Women,2012,
3168,The Place of Provenance,2012,
3171,Paradise Imagined: Images of the Garden in the Islamic and Christian World,2012,
3177,Gold, Jasper, and Cornelian: J,2012,
3182,Global Flows,2012,
3191,Public Property,2012,
2831,Beasts on Parchment: Picturing Animals in Medieval Manuscripts,2010,
2832,German Drawings from the Walters Collection,2010,
2987,Setting Sail: Drawings of the Sea from WAM,2011,
3160,Realistic Perfection: The Making of Oriental Ceramic Art,2011,
1983,Vishnu: Hinduism's Blue-Skinned Savior,2011,
2060,The Spectacular Art of Jean-L?on G?r?me,2010,
2089,Heroes: Mortals and Myths in Ancient Greece,2009,
2110,Through African Eyes: The European in African Art, 1500-Present,2010,
2113,19th Century Masterpieces from the Walters Art Museum,2010,
2115,Treasures of Heaven,2010,
2122,From Van Eyck to DÃ¼rer: Artistic Exchanges between the Netherlands and Centeral, Eastern and Northern Europe c,2010,
2130,Nature et Ideal,2011,
2141,Alexandre Cabanel, la tradition du beau,2010,
2184,The Ancient Nepalese Legacy,2010,
2204,L'Orientalisme, de Delacroix a Kandinsky,2010,
2244,Wine and Spirit: Rituals, Remedies, and Revelry,2010,
2348,Embodying the Holy: Icons in Eastern Orthodox Christianity and Tibetan Buddhism,2010,
2525,Cross References,2011,
2759,The Art of Writing Instruments from Paris to Persia,2011,
2104,"Art of Illumination: The Belles Heures of Jean de France, Duc de Berry",2010,
2107,Heirs of the Empire in North Africa-The Kingdom of the Vandals,2009,
2227,Bedazzled: 5,000 Years of Jewelry,2010,
2249,Japanese Cloisonne Enamels from the Stephen W,2010,
2755,Art of the Ancient Americas,2002,
2825,The Christmas Story: Picturing the Birth of Christ in Medieval Manuscripts,2009,
2827,Poetry and Prayer: Islamic Manuscripts from the Walters Art Museum,2010,
2828,Expanding Horizons: Recent Additions to the Drawings Collection,2010,
2829,Checkmate! Medieval People at Play,2010,
2830,Great Illustrations: Drawings and Books from the Walters' Collection,2010,
1981,American Stories,2009,
1998,Titian, Tintoretto, Veronese: Rivals in Renaissance Venice,2009,
2065,Industry of Perfection: The Refined Beauty of Japanese Cloisonne Enamels,2009,
2074,Alfred Stevens 1823-1906,2009,
2076,De la scène au tableau,2009,
2079,The Early Renaissance in Siena,2010,
2083,Patron and Painter: Situ Panchen and the Encampment Style,2009,
2087,Horace Walpole's Strawberry Hill,2009,
2088,Imagining China: The View from England, 1550-1700,2009,
2092,Venice in Canaletto's Age,2009,
2093,Mirror of a Medieval World,2009,
2097,Pilgrimage and Buddhist Art,2010,
1954,Bedazzled: 5,000 Years of Jewelry from the Walters Art Museum,2006,
1955,The Road to Impressionism: Barbizon Landscapes from the Walters Art Museum,2008,
1957,Realms of Faith: Medieval and Byzantine Art from the Walters Art Museum,2008,
1966,Artistic Luxury,2008,
1969,The Triumph of Marriage: Painted Cassoni of the Renaissance,2008,
1971,Art in the Age of Steam: Europe, America and the Railway, 1830-1960,2008,
1974,Corot: Souvenir et Variations,2008,
1976,Masterpieces in Bronze: Riccio, Sculptor of the Paduan Renaissance,2008,
1978,Jan Lievens (1607-1674),2008,
1979,Pompeii and The Roman Villa,2008,
1980,Art and Love in Renaissance Italy,2008,
1986,I tesori del collezionismo dei Gonzaga,2008,
1987,From Raphael to the Carracci: the Art of Papal Rome,2009,
1988,Amico Aspertini 1475-1552 e il suo tempo,2008,
1992,Giovanni Bellini,2008,
2000,Hearst the Collector,2008,
2001,Sentimental Journey: The Art of Alfred Jacob Miller,2008,
2043,Pen and Parchment: The Art of Drawing in the Middle Ages,2009,
2045,In the Forest of Fontainebleau: Painters and Photographers from Corot to Monet,2008,
2056,Shah 'Abbas and the Three Great Shi'i Shrines of the Safavids,2009,
2059,The Saint John's Bible: A Modern Vision through Medieval Methods,2009,
2072,A Circus Family: Picasso to Léger,2009,
2085,An Antiquity of Imagination : Tullio Lombardo and Venetian High Renaissance Sculpture,2009,
2102,Portraits Re-Examined: Dawoud Bey Project,2008,
2109,Romance of the Rose: Visions of Love in Illuminated Medieval Manuscripts,2009,
2111,Rembrandt Peale's Portrait of John Meer: A New Addition to the American Art Collection,2009,
2116,Herman Maril: An American Modernist,2009,
2117,Prayers in Code: Books of Hours from Renaissance France,2009,
2121,Things With Wings: Mythological Figures in Ancient Greek Art,2009,
2128,Shrunken Treasures: Miniaturization in Books and Art,2009,
2817,The Special Dead: A Medieval Reliquary Revealed,2008,
2178,Déjà Vu? The Repeating Image in Renaissance and Baroque Art,2007,
2656,Painting exchange with the Springfield Museum of Art,2007,
2816,Déjà Vu? Recurrence,2007,
128,The Early History of the Bible,2007,
1956,Untamed: The Art of Antoine-Louis Barye,2007,
1962,Déjà Vu? Revealing Repetition in French Masterpieces,2007,
1968,Pintoricchio,2008,
1972,High Society: American Portraits of the Gilded Age,2008,
1973,The Legacy of Giotto, Art in Florence, 1340-1370,2008,
1975,The Reunification of an Early Italian Tryptych,2008,
1977,Byzantium, 330-1453,2008,
1996,The Arts of Kashmir,2007,
2002,Faces of Ancient Arabia: The Giraud and Carolyn Foster Collection of South Arabian Art,2008,
2003,Salviati and the Antique: Ancient Inspiration for Modern Glassmaking,2007,
2030,Inspiring Impressionism,2007,
2031,Picturing the Bible: The Earliest Christian Art,2007,
2032,Mapping the Ottoman World, 1500-1800,2007,
2033,Gifts for the Gods,2007,
2034,Renaissance Siena: Art for a City,2007,
2036,Kindred Spirits: Asher B,2007,
2037,Maps: Finding Our Place in the World,2007,
2038,J,2007,
2041,Camille Pissarro: The Evolution of an Impressionist, 1864-1874,2007,
2046,Renoir at the Theatre: The Loge Paintings,2008,
2066,"Sonya Clark: Loose Strands, Tight Knots",2008,
3099,The Portrait Medallions of Pierre-Jean David d’Angers (1788–1856),2006,
3251,Art of Ancient America, 1500 B,1998,
2154,Courbet/Not Courbet,2006,
2172,Daily Magic in Ancient Egypt,2006,
2201,Best in Show: The Dog in Art from the Renaissance to Today,2006,
2202,At Home in Renaissance Italy,2006,
2219,Goddess Divine Energy,2006,
2220,In the Beginning: Bibles Before the Year 1000,2006,
2222,Van Gogh's Sheaves of Wheat,2006,
2229,Silesia - A Pearl in the Bohemian Crown: Three Periods of Flourishing Artistic Relations,2006,
2650,Venice and The Islamic World, 827-1797 (Venise et l'Orient),2006,
2654,Cleopatra und die Caesaren,2006,
2657,Princes, Places and Passion: The Art of India's Mewar Kingdom,2007,
2658,Nobilta di Piero,2007,
2659,Howard Pyle and the American Renaissance,2007,
2660,Italian Women Artists from Renaissance to Baroque: Commerce, Court and Convent,2007,
2661,At Freedom's Door: Challenging Slavery in Maryland,2007,
2662,Claude Monet (1840-1926): A Tribute to Daniel Wildenstein and Katia Granoff,2007,
2665,Armenie: La Magie d'Ecrit,2007,
2725,For This is My Body: The Medieval Missal,2006,
2726,Ottoman Embroideries and Other Ornament,2007,
186,Speaking the Word of God: Illuminated Korans from the Walters Art Museum,2007,
522,Long-term Loan to Mayor's Office,2000,
1958,Angels of Light: Ethiopian Art from the Walters Art Museum,2006,
1967,Encompassing the Globe,2007,
2040,Tres Riches Heures de Champagne,2007,
2053,Set in Stone: The Face in Medieval Sculpture,2006,
91,The Art of Law: Legal Documents from the Collection of The Walters,2006,
96,Schatzkammer: Henry Walters' German Manuscripts,2006,
287,Sacred Arts and City Life: The Glory of Medieval Novgorod,2005,
470,Dressed in Gold: Books of the Italian Renaissance,2005,
893,Prague: The Crown of Bohemia,2005,
1995,Lions, Dragons, and Other Beasts: Aquamanilia of the Middles Ages, Vessels for Church and Table,2006,
2069,The Essence of Line: French Drawings from Ingres to Degas,2005,
3100,The Miniatures of William J,2006,
2152,A Child's-Eye View,2006,
2156,Alfred Jacob Miller and the Western Indians,2006,
2177,Things With Wings: Mythological Figures in Ancient Greek Art,2005,
2216,Antonella da Messina: l'opera completa,2006,
2218,Arte e Manifattura di corte a Firenze dal tramonto dei Medici all'Impero (1732-1815),2006,
2228,Ingres, 1780-1867,2006,
2230,Lorenzo Monaco: A Bridge from Giotto's Heritage to the Renaissance,2006,
2641,Holy Madness: Portraits of Tantric Siddhas,2006,
2642,The Kingdom of Siam: Arts of Central Thailand, 1350-1800,2005,
2643,Arnolfo: Alle Origini del Rinascimento Fiorentino,2005,
2644,Ägypten Griechenland Rom: Abwehr und Berührung,2005,
2645,Prelude to Spanish Modernism: Fortuny to Picasso,2005,
2646,Marco Palmezzano: Il Rinascimento nelle Romagne,2005,
2648,"Corti e Città: Arte del Quattrocento nelle Alpi Occidentali (Courts and Cities, Fifteenth Century Art in the Western Alps),2006,
2649,Raffaello,2006,
2651,Heiliges R?misches Reich Deutscher Nation 962 bis 1806,2006,
2652,Early Cycladic Art,2006,
2653,The Princess and the Patriot: Ekaterina Dashkova, Benjamin Franklin, and the Age of Enlightenment,2006,
2655,A View Toward Paris: The Lucas Collection of Nineteenth Century French Art,2006,
2664,Pearls of the Parrot of India: The Emperor Akbar's Illustrated ""Khamsa,"" 1597-1598,2005,
2728,The Walters' American Collection,2005,
2174,Carved for Immortality,2004,
2280,Pharao siegt immer: Krieg und Frieden im Alten ?gypten (Pharaoh is Always Winning: War and Peace in Ancient Egypt),2004,
2602,Pearls,2001,
2628,Art from the Court of Burgundy, 1364-1419,2004,
2629,Eternal Presence: Handprints and Footprints in Buddhist Art,2004,
2632,Gilbert Stuart,2004,
2633,The Castellani and Italian Archaeological Jewelry,2004,
2635,Pontormo, Bronzino, and the Medici: The Transformation of the Renaissance Portrait,2004,
2636,From Filippo Lippi to Piero della Francesca: Fra Carnevale and the Making of a Renaissance Master,2005,
2637,Alexander the Great: Treasures from an Epic Era of Hellenism,2004,
2640,In Monet's Light: Theodore Robinson at Giverny,2004,
2647,Reading and Writing the Pedagogy of the Renaissance: The Student, the Study Materials and the Teachers of Music and Her Sister Discipline, 1470-1650,2005,
2724,The Early History of the Bible: Transmission of Sacred Scripture from Ancient Times to the Age of Painting,2005,
246,Realms of Faith: Medieval and Byzantine Art from the Walters Art Museum,2002,
366,The Road to Impressionism: Landscapes from Corot to Manet,2004,
3093,The Closed Book: Seven Short Stories,2005,
2159,A Magnificent Age: Masterpieces from the Walters Art Museum, Baltimore,2002,
2170,Recollections of a Baltimore Artist: Sketches by Alfred Jacob Miller (1810-1874),2004,
2176,Tools and Models: The Art of the Sculptor in Ancient Egypt,2003,
2344,Revolution! Documents from the American War of Independence,2004,
2345,Secret Signs: Egyptian Writing,2003,
2472,Himalayas: An Aesthetic Adventure,2003,
2596,Wildlife and Western Heroes: Alexander Phimister Proctor, Sculptor,2003,
2597,Coming of Age in Ancient Greece,2003,
2599,Illuminating the Renaissance: The Triumph of Flemish Manuscript Painting in Europe,2003,
2600,Playing with Fire: European Terracotta Models, 1740-1840 (Terres cuites européennes de 1750 á 1830),2004,
2624,The Centaur's Smile: The Human Animal in Early Greek Art,2003,
2625,Manet and the Sea,2003,
2626,Daumier and the Art of Caricature,2003,
2627,Charles Bargue: The Art of Drawing,2003,
2630,Games for the Gods: The Greek Athlete and the Olympic Spirit,2004,
2634,Il Camerino di Alabastro di Alfonso I d'Este: Antonio Lombardo e la scultura all'antica,2004,
10,Faience: The Colors of the Heavens,2003,
63,Byzantium: Faith and Power (1261-1557),2004,
2012,Illuminating the Word: Gospel Books in the Middle Ages,2004,
2062,The Fabergé Menagerie,2003,
112,The Cross and the Crescent: Books from the Ottoman Age,2003,
173,The Artful Book: Selections from a Contemporary Collection of Books by Artists,2002,
2071,Desire and Devotion: Art from India, Nepal, and Tibet in the John and Berthe Ford Collection,2001,
2598,French Artists in Rome: Ingres to Degas, 1803-1873 (Maestà di Roma),2003,
2601,The Legacy of Michelangelo,2002,
2605,The Legacy of Genghis Khan: Courtly Art and Culture in Western Asia, 1256-1353,2002,
2609,Byzantine Women and Their World,2002,
2614,In the Fullness of Time: Masterpieces of Egyptian Art from American Collections,2002,
2616,Against the Modern: Dagnan-Bouveret and the Transformation of Academic Art,2002,
2617,La Celeste Galleria dei Gonzaga,2002,
2623,I Faraoni (The Pharaohs),2002,
2339,The Book of Kings: Art, War, and the Morgan Library's Medieval Picture Bible,2002,
2448,Le Paysage français de Valenciennes à Bonnington,2002,
2603,Women Who Ruled: Queens, Goddesses, Amazons 1500-1650,2002,
2604,Medieval Mastery, Book Illumination from Charlemagne to Charles the Bold (Meesterlijke Middeleeuwen),2002,
2606,Vita di Michelangelo,2001,
2607,William Beckford, 1760-1844: An Eye for the Magnificent,2001,
2608,Art about Art: Painting and Sculpture in Competition (Wettstreit der KÃ¼nste,2002,
2612,Devices of Wonder: From the World in a Box to Images on a Screen,2001,
2613,Virtue and Beauty: Leonardo's Ginevra de'Benci and Renaissance Portraits of Women,2001,
2615,Prince Henry of Prussia: A European in Rheinsberg,2002,
2619,The Sweet Uses of Adversity: Images of the Biblical Job,2002,
2620,Vincenzo Foppa: Un protagonista del Rinascimento (Vincenzo Foppa and the Renaissance in Northern Italy),2002,
2621,Jan van Eyck, Early Netherlandish Painting and Southern Europe,2002,
2622,Verso l'arte moderna: da Puvis de Chavannes a Matisse e Picasso,2002,
2752,Realms of Faith: Medieval and Byzantine Art from the Walters Art Museum,2001,
78,Art and Home: Dutch Interiors in the Age of Rembrandt,2001,
97,A Renaissance Gem Revealed: Petrarch's Triumphs Disbound,2002,
125,Expanding World Views: A Millennium of Maps,2001,
309,Serapis: The Creation of a God,2002,
385,The Closed Book: Seven Short Stories,2002,
442,Triumph of French Painting: Masterpieces from Ingres to Matisse,2000,
13,Highlights from the Collection,1998,
15,Philip Melanchthon's Watch,2000,
62,Treasures from the Ark: 1700 Years of Armenian Christian Art,2001,
76,Chinese Snuff Bottles,2000,
525,"Noble Dreams, Wicked Pleasures: Orientalism in America, 1870-1930",2000,
673,Art and the Empire City: New York, 1825-1861,2000,
890,Painting on Light: Drawings and Stained Glass in the Age of Durer and Holbien,2000,
896,The Mother of God: Representations of the Virgin in Byzantine Art,2000,
2028,The Way to Heaven: Relic Veneration in the Middle Ages,2000,
2160,The American Artist as Painter and Draftsman,2001,
2581,Pharaohs of the Sun: Akhenaten, Nefertiti, Tutankhamen,1999,
2586,Gérôme and Goupil: Art and Enterprise,2001,
2591,Jean Poyet: Artist to the Court of Renaissance France,2001,
2595,Book Arts in the Age of Durer,2000,
2610,Antioch: The Lost Ancient City,2001,
2611,American West: Out of Myth into Reality,2000,
2667,Armenian Church Liturgy,2001,
2577,Eastman Johnson: Painting America,1999,
2580,Faces of Impressionism: Portraits from American Collections,1999,
2584,Masks: Faces of Culture,1999,
2585,Ulysses, Myth and Memory,1999,
2593,Delacroix: The Music of Painting,2000,
74,Small Northern European Portraits from The Walters Art Gallery, Baltimore,2000,
316,Vive la France! French Treasures from the Middle Ages to Monet,1999,
344,Drawn into the Light: Jean-François Millet,1999,
397,Notable Marylanders in Portraiture,1999,
446,Eureka! The Archimedes Palimpsest,1999,
559,Ancient Faces: Mummy Portraits from Roman Egypt,2000,
763,Art in Rome in the Eighteenth Century,2000,
894,The Glory of the Golden Age,2000,
2017,Daumier 1808-1879,1999,
53,Das Jahrtausend der Mönche: Kloster Welt Werden 799-1803,1999,
190,Botanical Delights: Floral Motifs in 19th-Century Art,1998,
226,Delacroix: les dernières années,1998,
451,Saint Francis Xavier: His Life and Times,1999,
665,Tiffany Retrospective: Designs from Tiffany & Co,1999,
736,Alessandro Turchi : detto l'Orbetto 1578-1649,1999,
772,Jewels of Lalique,1998,
773,Degas and New Orleans: A French Impressionist in America,1999,
965,Monet: Late Paintings of Giverny from the Musee Marmottan,1998,
1993,A Discerning Eye: Nineteenth-century Drawings and Watercolors,1998,
3091,Ethiopian Gospel Book: New Acquisition,1999,
2568,Gifts of the Nile: Ancient Egypian Faience,1998,
2569,Impressionists in Winter: Effets de Neige,1998,
2574,Degas and the Little Dancer,1998,
2576,Love and War: A Manual for Life in the Late Middle Ages,1998,
2579,Saints and Sinners: Caravaggio and the Baroque Image,1999,
2582,When Time Began to Rant and Rage: Twentieth Century Figurative Painting from Ireland,1998,
2583,America: The New World in Nineteenth Century Painting,1999,
2587,Ambiente Barocco: Life and the Arts in the Baroque Palaces of Rome,1999,
2588,Roma e lo stile classico di Raffaello 1515-1527,1999,
2562,Manet, Monet, and the Gare Saint-Lazare,1998,
2565,The Sèvres Porcelain Manufactory, 1800-1847: Alexandre Brongniart and the Triumph of Art and Innovation,1997,
2567,A Day at the Races: Degas, Manet and Images of the Horse,1998,
2570,Vatican Treasures: Early Christian, Renaissance, and Baroque Art from the Papal Collections,1998,
2572,A Collector's Cabinet,1998,
2575,From Hans Memling to Pieter Pourbus,1998,
2666,Artisans of Ancient Rome,1997,
2749,Before Monet: Landscape Painting in France and Impressionist Masters: Highlights from The Walters Collection,1998,
22,The Origins of Dutch Painting: Manuscripts from the Fifteenth Century,1998,
29,Mything Persons: Historic Figures in Legends of East and West,1998,
213,Covered in Meaning: Book Bindings from The Walters,1997,
326,Pieter Breughel der Jünger-Jan Brueghel der Ältere: Flämische Malerie um 1600, Tradition und Forschritt,1997,
415,Splendors of Versailles,1998,
507,Orientalism: Delacroix to Klee,1997,
578,Hot Dry Men, Cold Wet Women: The Theory for Humors in Western European Art, 1575-1700,1997,
615,Rosa Bonheur (1822-1899),1997,
637,French Master Drawings,1997,
963,Masters of Light: Dutch Painters in Utrecht During the Golden Age,1997,
106,Music in Manuscripts,1996,
384,Carl Fabergé,1997,
389,L'immagine di Leonardo: testimonianze figurative dal XVI al XIX secolo,1997,
579,The Divine Word and Sacred Sites of Islam,1997,
605,The Sacred and the Profane: Josefa de Obidos of Portugal (1630-1684),1997,
621,Un défi au gout: 50 ans de création à la manufacture royal de Sevres (1740-1793),1997,
655,Léon Bonvin (1834-1866),1997,
850,Mistress of House Mistress of Heaven: Women in Ancient Egypt,1996,
889,The Glory of Byzantium,1997,
891,The Proud Republic: Dutch Medals of the Golden Age,1997,
956,Russian Enamels,1996,
961,Images in Ivory: Precious Objects of the Gothic Age,1997,
962,Art that Heals: The Image as Medicine in Ethiopia,1997,
2168,The Recollections of Alfred Jacob Miller,1996,
2410,Images of Devotion: Personal Piety in Medieval Manuscripts and Ivories,1997,
2542,"I, Claudia: Women in Ancient Rome",1996,
2543,Fabergé in America,1996,
2545,Corot,1996,
2552,Plain Pictures: Images of the American Prairie,1996,
2553,Sir Lawrence Alma-Tadema,1996,
2559,Medieval Matters: Illuminated Manuscripts from the Walters Art Gallery, Baltimore, and The Library of Mr,1997,
2560,Giambattista Tiepolo 1696-1996,1997,
